#time,accel_x,accel_y,accel_z
993.787695,-9400.615463,-370.102971,-153.219100
993.788011,-9474.636058,-296.082377,0.000000
993.788327,-9622.677246,-370.102971,153.219100
993.788642,-9326.594869,-518.144159,0.000000
993.788958,-9400.615463,0.000000,766.095498
993.789273,-9474.636058,-444.123565,76.609550
993.789589,-9474.636058,-370.102971,0.000000
993.789904,-9474.636058,-370.102971,76.609550
993.790220,-9474.636058,-296.082377,76.609550
993.790535,-9178.553681,-666.185348,612.876398
993.790851,-9474.636058,-296.082377,0.000000
993.791167,-9474.636058,-370.102971,0.000000
993.791482,-9622.677246,-222.061783,0.000000
993.791798,-9400.615463,-222.061783,689.485948
993.792113,-9622.677246,-296.082377,-229.828649
993.792429,-9622.677246,-222.061783,229.828649
993.792744,-9474.636058,-296.082377,459.657299
993.793060,-9474.636058,-222.061783,0.000000
993.793375,-9770.718434,-74.020594,306.438199
993.793691,-9548.656652,-370.102971,0.000000
993.794007,-9400.615463,-370.102971,0.000000
993.794322,-9548.656652,-370.102971,0.000000
993.794638,-9400.615463,-222.061783,0.000000
993.794953,-9548.656652,-296.082377,-766.095498
993.795269,-9474.636058,-296.082377,76.609550
993.795584,-9474.636058,-370.102971,76.609550
993.795900,-9400.615463,-666.185348,0.000000
993.796215,-9548.656652,0.000000,-995.924147
993.796531,-9400.615463,-518.144159,0.000000
993.796847,-9474.636058,-148.041188,0.000000
993.797162,-9696.697840,-222.061783,306.438199
993.797478,-9548.656652,-888.247130,-306.438199
993.797793,-9918.759623,-962.267725,0.000000
993.798109,-9178.553681,-370.102971,-689.485948
993.798424,-9696.697840,0.000000,-536.266849
993.798740,-9400.615463,-518.144159,-229.828649
993.799055,-9548.656652,-740.205942,383.047749
993.799371,-8956.491898,-370.102971,-842.705048
993.799687,-9844.739029,0.000000,0.000000
993.800002,-9770.718434,-444.123565,0.000000
993.800318,-9622.677246,-222.061783,-383.047749
993.800633,-9252.574275,-444.123565,766.095498
993.800949,-9770.718434,74.020594,-306.438199
993.801264,-9696.697840,-370.102971,0.000000
993.801580,-9400.615463,-740.205942,-612.876398
993.801895,-9252.574275,-592.164754,-689.485948
993.802211,-9178.553681,-1110.308913,-306.438199
993.802527,-9326.594869,-666.185348,-766.095498
993.802842,-9326.594869,-962.267725,-612.876398
993.803158,-9104.533087,-814.226536,-995.924147
993.803473,-8734.430116,-592.164754,-1608.800546
993.803789,-10362.883188,-370.102971,-383.047749
993.804104,-9696.697840,-740.205942,-153.219100
993.804420,-9252.574275,0.000000,-153.219100
993.804735,-10066.800811,-370.102971,-306.438199
993.805051,-9474.636058,-296.082377,76.609550
993.805367,-9992.780217,0.000000,153.219100
993.805682,-9770.718434,0.000000,76.609550
993.805998,-9030.512492,-222.061783,-229.828649
993.806313,-10214.842000,-740.205942,0.000000
993.806629,-9104.533087,0.000000,-459.657299
993.806944,-9326.594869,-888.247130,0.000000
993.807260,-9030.512492,-962.267725,-842.705048
993.807575,-9474.636058,-1332.370696,-383.047749
993.807891,-9474.636058,-1110.308913,-306.438199
993.808207,-8956.491898,-1184.329507,-306.438199
993.808522,-9474.636058,-666.185348,-229.828649
993.808838,-9474.636058,-1110.308913,0.000000
993.809153,-9918.759623,-666.185348,383.047749
