#time,accel_x,accel_y,accel_z
507.960693,-7550.100608,0.000000,0.000000
507.961009,-9400.615463,-444.123565,0.000000
507.961324,-9474.636058,-296.082377,0.000000
507.961640,-9474.636058,-296.082377,0.000000
507.961956,-9474.636058,-296.082377,306.438199
507.962272,-9622.677246,0.000000,0.000000
507.962587,-9474.636058,-222.061783,0.000000
507.962903,-9474.636058,-370.102971,76.609550
507.963219,-9474.636058,-518.144159,0.000000
507.963534,-9326.594869,0.000000,-229.828649
507.963850,-9474.636058,-518.144159,0.000000
507.964166,-9622.677246,-296.082377,0.000000
507.964482,-9474.636058,-370.102971,76.609550
507.964797,-9548.656652,-222.061783,0.000000
507.965113,-9400.615463,-370.102971,-536.266849
507.965429,-9548.656652,-222.061783,0.000000
507.965745,-9474.636058,-444.123565,0.000000
507.966060,-9474.636058,-518.144159,76.609550
507.966376,-9252.574275,-370.102971,1915.238745
507.966692,-9400.615463,-444.123565,306.438199
507.967007,-9474.636058,-370.102971,229.828649
507.967323,-9548.656652,-296.082377,0.000000
507.967639,-9474.636058,-444.123565,76.609550
507.967955,-9474.636058,-518.144159,153.219100
507.968270,-9622.677246,-296.082377,0.000000
507.968586,-9474.636058,-518.144159,-153.219100
507.968902,-9474.636058,-518.144159,153.219100
507.969217,-9770.718434,-444.123565,-459.657299
507.969533,-9400.615463,-370.102971,0.000000
507.969849,-9474.636058,-296.082377,229.828649
507.970165,-9400.615463,0.000000,229.828649
507.970480,-9622.677246,-222.061783,0.000000
507.970796,-9992.780217,518.144159,0.000000
507.971112,-9622.677246,-740.205942,536.266849
507.971427,-9622.677246,-740.205942,536.266849
507.971743,-9252.574275,-370.102971,0.000000
507.972059,-9548.656652,-370.102971,229.828649
507.972375,-9548.656652,-592.164754,0.000000
507.972690,-9326.594869,-1036.288319,0.000000
507.973006,-9178.553681,-1110.308913,-153.219100
507.973322,-9178.553681,-1850.514855,-766.095498
507.973637,-9696.697840,592.164754,-766.095498
507.973953,-9400.615463,-518.144159,-153.219100
507.974269,-9548.656652,-444.123565,383.047749
507.974585,-9548.656652,-518.144159,306.438199
507.974900,-9918.759623,-444.123565,459.657299
507.975216,-9696.697840,0.000000,0.000000
507.975532,-10066.800811,222.061783,-153.219100
507.975847,-9474.636058,296.082377,-153.219100
507.976163,-9400.615463,-222.061783,-306.438199
507.976479,-9326.594869,-1258.350101,-995.924147
507.976795,-9400.615463,-740.205942,0.000000
507.977110,-9696.697840,-1036.288319,0.000000
507.977426,-9474.636058,-1776.494261,153.219100
507.977742,-8882.471304,-1850.514855,-306.438199
507.978058,-7476.080014,-1776.494261,-306.438199
